id_municipio,cod_uf,prob_risco,em_risco
2408706,24,0.9855351075513386,1
1707702,17,0.9813042782921129,1
1712702,17,0.9781307466206715,1
2414456,24,0.9771790299947971,1
1200435,12,0.9756664631898031,1
2409803,24,0.9703905716357191,1
1502806,15,0.9679453973790806,1
1712405,17,0.9679094013647582,1
2920908,29,0.9672503043326515,1
1704600,17,0.966735606556666,1
2915403,29,0.9663637934709471,1
1600501,16,0.9641831690517358,1
4321303,43,0.9628715173647765,1
2902252,29,0.9627738296929257,1
1703008,17,0.9620166311192387,1
1710706,17,0.9620068456433915,1
2800209,28,0.9613560862668497,1
1504505,15,0.9593859710316175,1
2802700,28,0.954766701259935,1
2407609,24,0.9533449632437007,1
4301750,43,0.9531150946469851,1
1302553,13,0.951336820731617,1
2413359,24,0.951149179192321,1
2410900,24,0.9498447879389117,1
1303536,13,0.9497581587021392,1
1200138,12,0.9493918353301051,1
2203354,22,0.9487364446253864,1
2801504,28,0.9483472056583951,1
2505238,25,0.9479678297502386,1
3300456,33,0.9458166082947823,1
2408953,24,0.9437905511831206,1
1200179,12,0.9434198771142659,1
2406205,24,0.942972396340708,1
1711951,17,0.9428785279996391,1
1507300,15,0.9419921804146186,1
2905305,29,0.9419631479429363,1
2805109,28,0.9390193176293938,1
2926905,29,0.9383566032287484,1
2405108,24,0.9371838963629079,1
2908903,29,0.9367440461323402,1
1719004,17,0.9364182111479298,1
2505204,25,0.9358299406875188,1
2703601,27,0.9351934288318815,1
2410405,24,0.9347361685601523,1
2102507,21,0.9346402549255362,1
1505205,15,0.9344377928820048,1
4320354,43,0.9343996601788339,1
4320651,43,0.9343396602720484,1
2928059,29,0.934119985030562,1
4304663,43,0.9338104787534547,1
2928109,29,0.9335271059233442,1
1502400,15,0.933361310000313,1
1718758,17,0.9321822953901736,1
2919900,29,0.9318661973070426,1
2920809,29,0.9316266714643329,1
2928307,29,0.9310834272565471,1
2408805,24,0.9307267987963888,1
2909307,29,0.929946363459709,1
2407104,24,0.9298059094018772,1
2509057,25,0.9296942556906269,1
2412559,24,0.9289894750941944,1
2412807,24,0.9286020457724806,1
2803104,28,0.9274341320656979,1
3529708,35,0.927091646387877,1
1503754,15,0.9266722587256414,1
2805406,28,0.9266468637861836,1
2414209,24,0.9265155023544377,1
4318705,43,0.9264443003156655,1
2703106,27,0.9264210955116254,1
2912608,29,0.9263269379537755,1
1709807,17,0.9261793501865125,1
4301073,43,0.9257369670092983,1
2904100,29,0.9252941677240424,1
2923357,29,0.9250134949761033,1
2911857,29,0.9246573511387367,1
1304260,13,0.923900189667729,1
1200807,12,0.9229281545074051,1
1702000,17,0.9228590860807684,1
2924405,29,0.9224194396625605,1
2932705,29,0.9210124710301761,1
2905602,29,0.9209402617986067,1
2906808,29,0.9207220986352465,1
2907202,29,0.920638661840193,1
2404606,24,0.920302048026664,1
1507805,15,0.9201146407508143,1
4300604,43,0.9199067233780477,1
1713601,17,0.919838405937497,1
4314407,43,0.9197754163206256,1
2922656,29,0.9196294871328164,1
1505304,15,0.9191826473362253,1
2925600,29,0.9190493412117222,1
2910909,29,0.9181902567730267,1
2507408,25,0.9180075142173482,1
1507409,15,0.9178109080850344,1
2931905,29,0.9175985770994627,1
2413201,24,0.9174838751311283,1
4310413,43,0.9170657043249314,1
2403251,24,0.9167862218683221,1
2401404,24,0.9165034643293261,1
3302601,33,0.9162607543778827,1
2800605,28,0.9158040044672722,1
2802502,28,0.9156171425232769,1
1503077,15,0.9154873596295681,1
2413102,24,0.9153834716372713,1
2403608,24,0.9145426588379824,1
2401859,24,0.9143172467130476,1
2929800,29,0.913821412181249,1
2806503,28,0.9134845116149118,1
2913705,29,0.9131440622181272,1
2805604,28,0.9130320968192469,1
2406700,24,0.9119406340503037,1
2929206,29,0.9116277230813052,1
3303500,33,0.9112795617196738,1
2902203,29,0.9109786142060601,1
2408300,24,0.9105291645632584,1
4301909,43,0.9103807218050416,1
3304144,33,0.9098025819290465,1
2908200,29,0.90972443223307,1
2919207,29,0.9083589893734719,1
3305109,33,0.9082061828887428,1
1504604,15,0.9075069850292099,1
2933158,29,0.9074091673914179,1
2411106,24,0.9068182927872281,1
2406304,24,0.9061391115484392,1
2930204,29,0.9061102921223656,1
2923704,29,0.9059611828563915,1
1600105,16,0.905920401289269,1
2803609,28,0.9055789637105596,1
5005202,50,0.9049801151488345,1
2407203,24,0.904937295539843,1
1300508,13,0.9046768551748959,1
2402600,24,0.9043179268554465,1
2905909,29,0.9040104312761592,1
2930501,29,0.9037492174397542,1
2402402,24,0.9033324948529892,1
4320859,43,0.9030094589041113,1
4311981,43,0.9029675682789903,1
2922250,29,0.9016603520045343,1
1506559,15,0.9016405207541249,1
1703909,17,0.9013880092969951,1
2412203,24,0.901318473393351,1
3302270,33,0.901192586424404,1
4310538,43,0.9010596004305211,1
2707107,27,0.9003567041621351,1
1504703,15,0.8998944781849337,1
2914802,29,0.8988189318819073,1
2911402,29,0.8986862851849153,1
1500701,15,0.8981839358378656,1
4316402,43,0.8971412329493305,1
2929305,29,0.8969789565155998,1
2804805,28,0.8968766176847546,1
2917003,29,0.8968675669017602,1
2919108,29,0.8964984482762772,1
2922854,29,0.8958682005909139,1
2901908,29,0.8956408170505679,1
2911808,29,0.8953935657630042,1
4314902,43,0.8952149697256294,1
2405504,24,0.8949227814050571,1
1715705,17,0.8948045771964265,1
2206654,22,0.894695039193662,1
2406403,24,0.8946439314328013,1
2932457,29,0.8943973880114828,1
1502905,15,0.8942143320720722,1
2405306,24,0.8934929912048974,1
2801009,28,0.8932922902335426,1
1503457,15,0.8930885403737837,1
2408607,24,0.8930161786374489,1
2906709,29,0.8927401271782733,1
1718865,17,0.8922794653378756,1
2401206,24,0.8922536782670809,1
2929354,29,0.8919031659209561,1
2921401,29,0.8916058534636269,1
1507201,15,0.8914582521334866,1
2921500,29,0.8914367388952537,1
2917508,29,0.8911638056538479,1
1711100,17,0.8908583340015724,1
2924108,29,0.8903189457074706,1
4304630,43,0.8902726313550252,1
3301157,33,0.8901438500918246,1
2401602,24,0.8898119624629407,1
2933505,29,0.8896219458651943,1
2901403,29,0.889408548098525,1
2923100,29,0.8887421674435843,1
2933059,29,0.8886539749015613,1
2800670,28,0.8886071605699176,1
5007901,50,0.8881805612182574,1
4218004,42,0.8875293597019556,1
2902104,29,0.8874487581652784,1
4309308,43,0.887267556270437,1
2804300,28,0.8870340762358231,1
4323002,43,0.8869417990730025,1
2806305,28,0.8867940207093881,1
4209151,42,0.8862905910901697,1
2509370,25,0.8860602494264627,1
2702405,27,0.8858336253847735,1
2931509,29,0.885796222084841,1
2512721,25,0.8856387972721131,1
2110807,21,0.8839210437362376,1
2405801,24,0.8838840066811079,1
2910057,29,0.8838254939666463,1
2924207,29,0.8835143221680088,1
1501600,15,0.8834436613517792,1
1717909,17,0.8834179670474748,1
1507953,15,0.8832784160955961,1
2400208,24,0.8832075078889898,1
2925956,29,0.8830852344144405,1
2500601,25,0.8830117094145368,1
2102200,21,0.8828608518404326,1
1200385,12,0.8828155328360865,1
2707404,27,0.8816475004719215,1
1718659,17,0.8813762582616591,1
1303106,13,0.8810087673554279,1
2413409,24,0.8808716693334604,1
5005608,50,0.8808580146554972,1
2514453,25,0.8805383846274822,1
2500304,25,0.880447565957065,1
4300661,43,0.8802148986840287,1
2916302,29,0.8800708577138247,1
2100832,21,0.8795954715357535,1
4312377,43,0.8789570617290348,1
2902708,29,0.8781114425299891,1
2401107,24,0.8777386163185918,1
2914901,29,0.877655405068335,1
2405900,24,0.8776423959899888,1
2920452,29,0.8775076589946192,1
3302858,33,0.8774913958372601,1
2932200,29,0.877328552289838,1
2405405,24,0.8772131995755301,1
2917334,29,0.8770931633627175,1
2503803,25,0.8765296573716805,1
2409308,24,0.8760886075019292,1
2910800,29,0.8760358244203759,1
2900603,29,0.875949984645212,1
1703073,17,0.8757276782556594,1
2923902,29,0.8755398213067241,1
1507003,15,0.8755107460171186,1
2912707,29,0.8742124436136697,1
4318309,43,0.87410060570094,1
2802205,28,0.8739285932913387,1
3304904,33,0.8738746244896546,1
4315503,43,0.8737772469461794,1
1712801,17,0.8737583338893604,1
2804904,28,0.8737236312432592,1
4303103,43,0.8729747445141367,1
2924009,29,0.8721504959319141,1
2915908,29,0.87174231981161,1
5003207,50,0.8716862085742009,1
2802106,28,0.8715554854815482,1
4309159,43,0.8713072760186731,1
4210704,42,0.8710912030233704,1
4311205,43,0.8709388391371259,1
4319208,43,0.8706546528836858,1
4309209,43,0.8700609760542674,1
2914653,29,0.8699056179084568,1
4309654,43,0.8697686192166745,1
3140852,31,0.8696081423124802,1
2932903,29,0.8695539120041279,1
2900207,29,0.8695135732080126,1
2406155,24,0.8694371852090707,1
1200427,12,0.8693420041519079,1
1600550,16,0.8692474090665092,1
2911600,29,0.8691493270164897,1
2802007,28,0.86866165985256,1
1508209,15,0.8685776690199138,1
2925006,29,0.8685408316421788,1
4202503,42,0.8679849612602127,1
4316907,43,0.8677274748775197,1
2901601,29,0.8675239370765007,1
2913606,29,0.8674479397804821,1
2915809,29,0.8674352964759768,1
2806404,28,0.8672613991431579,1
1505809,15,0.8671761110167668,1
2910602,29,0.8665840404222166,1
2406502,24,0.8658470512929852,1
1504455,15,0.8657508741058427,1
2928000,29,0.8653956057594268,1
4307708,43,0.8653322526787357,1
2918407,29,0.8648768593612107,1
4311122,43,0.8643244769144534,1
2412005,24,0.8639118619743898,1
1503408,15,0.8638570396549383,1
1502103,15,0.8638139819267266,1
2402808,24,0.8638099538960252,1
